,nombres,total,hp,attack,defense,sp_atack,sp_defense,speed
76,Growlithe,350,55,70,45,70,50,60
77,Growlithe Hisuian Growlithe,350,60,75,45,65,50,55
78,Arcanine,555,90,110,80,100,80,95
79,Arcanine Hisuian Arcanine,555,95,115,80,95,80,90
80,Poliwag,300,40,50,40,40,40,90
81,Poliwhirl,385,65,65,65,50,50,90
82,Poliwrath,510,90,95,95,70,90,70
83,Abra,310,25,20,15,105,55,90
84,Kadabra,400,40,35,30,120,70,105
85,Alakazam,500,55,50,45,135,95,120
86,Alakazam Mega Alakazam,600,55,50,65,175,105,150
87,Machop,305,70,80,50,35,35,35
88,Machoke,405,80,100,70,50,60,45
89,Machamp,505,90,130,80,65,85,55
90,Bellsprout,300,50,75,35,70,30,40
91,Weepinbell,390,65,90,50,85,45,55
92,Victreebel,490,80,105,65,100,70,70
93,Tentacool,335,40,40,35,50,100,70
94,Tentacruel,515,80,70,65,80,120,100
95,Geodude,300,40,80,100,30,30,20
96,Geodude Alolan Geodude,300,40,80,100,30,30,20
97,Graveler,390,55,95,115,45,45,35
98,Graveler Alolan Graveler,390,55,95,115,45,45,35
99,Golem,495,80,120,130,55,65,45
100,Golem Alolan Golem,495,80,120,130,55,65,45
101,Ponyta,410,50,85,55,65,65,90
102,Ponyta Galarian Ponyta,410,50,85,55,65,65,90
103,Rapidash,500,65,100,70,80,80,105
104,Rapidash Galarian Rapidash,500,65,100,70,80,80,105
105,Slowpoke,315,90,65,65,40,40,15
106,Slowpoke Galarian Slowpoke,315,90,65,65,40,40,15
107,Slowbro,490,95,75,110,100,80,30
108,Slowbro Mega Slowbro,590,95,75,180,130,80,30
109,Slowbro Galarian Slowbro,490,95,100,95,100,70,30
110,Magnemite,325,25,35,70,95,55,45
111,Magneton,465,50,60,95,120,70,70
112,Farfetch'd,377,52,90,55,58,62,60
113,Farfetch'd Galarian Farfetch'd,377,52,95,55,58,62,55
114,Doduo,310,35,85,45,35,35,75
115,Dodrio,470,60,110,70,60,60,110
116,Seel,325,65,45,55,45,70,45
117,Dewgong,475,90,70,80,70,95,70
118,Grimer,325,80,80,50,40,50,25
119,Grimer Alolan Grimer,325,80,80,50,40,50,25
120,Muk,500,105,105,75,65,100,50
121,Muk Alolan Muk,500,105,105,75,65,100,50
122,Shellder,305,30,65,100,45,25,40
123,Cloyster,525,50,95,180,85,45,70
124,Gastly,310,30,35,30,100,35,80
125,Haunter,405,45,50,45,115,55,95
126,Gengar,500,60,65,60,130,75,110
127,Gengar Mega Gengar,600,60,65,80,170,95,130
128,Onix,385,35,45,160,30,45,70
129,Drowzee,328,60,48,45,43,90,42
130,Hypno,483,85,73,70,73,115,67
131,Krabby,325,30,105,90,25,25,50
132,Kingler,475,55,130,115,50,50,75
133,Voltorb,330,40,30,50,55,55,100
134,Voltorb Hisuian Voltorb,330,40,30,50,55,55,100
135,Electrode,490,60,50,70,80,80,150
136,Electrode Hisuian Electrode,490,60,50,70,80,80,150
137,Exeggcute,325,60,40,80,60,45,40
138,Exeggutor,530,95,95,85,125,75,55
139,Exeggutor Alolan Exeggutor,530,95,105,85,125,75,45
140,Cubone,320,50,50,95,40,50,35
141,Marowak,425,60,80,110,50,80,45
142,Marowak Alolan Marowak,425,60,80,110,50,80,45
143,Hitmonlee,455,50,120,53,35,110,87
144,Hitmonchan,455,50,105,79,35,110,76
145,Lickitung,385,90,55,75,60,75,30
146,Koffing,340,40,65,95,60,45,35
147,Weezing,490,65,90,120,85,70,60
148,Weezing Galarian Weezing,490,65,90,120,85,70,60
149,Rhyhorn,345,80,85,95,30,30,25
150,Rhydon,485,105,130,120,45,45,40
151,Chansey,450,250,5,5,35,105,50
152,Tangela,435,65,55,115,100,40,60
153,Kangaskhan,490,105,95,80,40,80,90
154,Kangaskhan Mega Kangaskhan,590,105,125,100,60,100,100
155,Horsea,295,30,40,70,70,25,60
156,Seadra,440,55,65,95,95,45,85
157,Goldeen,320,45,67,60,35,50,63
158,Seaking,450,80,92,65,65,80,68
159,Staryu,340,30,45,55,70,55,85
160,Starmie,520,60,75,85,100,85,115
161,Mr. Mime,460,40,45,65,100,120,90
162,Mr. Mime Galarian Mr. Mime,460,50,65,65,90,90,100
163,Scyther,500,70,110,80,55,80,105
164,Jynx,455,65,50,35,115,95,95
165,Electabuzz,490,65,83,57,95,85,105
166,Magmar,495,65,95,57,100,85,93
167,Pinsir,500,65,125,100,55,70,85
168,Pinsir Mega Pinsir,600,65,155,120,65,90,105
169,Tauros,490,75,100,95,40,70,110
170,Tauros Combat Breed,490,75,110,105,30,70,100
171,Tauros Blaze Breed,490,75,110,105,30,70,100
172,Tauros Aqua Breed,490,75,110,105,30,70,100
173,Magikarp,200,20,10,55,15,20,80
174,Gyarados,540,95,125,79,60,100,81
175,Gyarados Mega Gyarados,640,95,155,109,70,130,81
176,Lapras,535,130,85,80,85,95,60
177,Ditto,288,48,48,48,48,48,48
178,Eevee,325,55,55,50,45,65,55
179,Eevee Partner Eevee,435,65,75,70,65,85,75
180,Vaporeon,525,130,65,60,110,95,65
181,Jolteon,525,65,65,60,110,95,130
182,Flareon,525,65,130,60,95,110,65
183,Porygon,395,65,60,70,85,75,40
184,Omanyte,355,35,40,100,90,55,35
185,Omastar,495,70,60,125,115,70,55
186,Kabuto,355,30,80,90,55,45,55
187,Kabutops,495,60,115,105,65,70,80
188,Aerodactyl,515,80,105,65,60,75,130
189,Aerodactyl Mega Aerodactyl,615,80,135,85,70,95,150
190,Snorlax,540,160,110,65,65,110,30
191,Articuno,580,90,85,100,95,125,85
192,Articuno Galarian Articuno,580,90,85,85,125,100,95
193,Zapdos,580,90,90,85,125,90,100
194,Zapdos Galarian Zapdos,580,90,125,90,85,90,100
195,Moltres,580,90,100,90,125,85,90
196,Moltres Galarian Moltres,580,90,85,90,100,125,90
197,Dratini,300,41,64,45,50,50,50
198,Dragonair,420,61,84,65,70,70,70
199,Dragonite,600,91,134,95,100,100,80
200,Mewtwo,680,106,110,90,154,90,130
201,Mewtwo Mega Mewtwo X,780,106,190,100,154,100,130
202,Mewtwo Mega Mewtwo Y,780,106,150,70,194,120,140
203,Mew,600,100,100,100,100,100,100
204,Chikorita,318,45,49,65,49,65,45
205,Bayleef,405,60,62,80,63,80,60
206,Meganium,525,80,82,100,83,100,80
207,Cyndaquil,309,39,52,43,60,50,65
208,Quilava,405,58,64,58,80,65,80
209,Typhlosion,534,78,84,78,109,85,100
210,Typhlosion Hisuian Typhlosion,534,73,84,78,119,85,95
211,Totodile,314,50,65,64,44,48,43
212,Croconaw,405,65,80,80,59,63,58
213,Feraligatr,530,85,105,100,79,83,78
214,Sentret,215,35,46,34,35,45,20
215,Furret,415,85,76,64,45,55,90
216,Hoothoot,262,60,30,30,36,56,50
217,Noctowl,452,100,50,50,86,96,70
218,Ledyba,265,40,20,30,40,80,55
219,Ledian,390,55,35,50,55,110,85
220,Spinarak,250,40,60,40,40,40,30
221,Ariados,400,70,90,70,60,70,40
222,Crobat,535,85,90,80,70,80,130
223,Chinchou,330,75,38,38,56,56,67
224,Lanturn,460,125,58,58,76,76,67
225,Pichu,205,20,40,15,35,35,60
226,Cleffa,218,50,25,28,45,55,15
227,Igglybuff,210,90,30,15,40,20,15
228,Togepi,245,35,20,65,40,65,20
229,Togetic,405,55,40,85,80,105,40
230,Natu,320,40,50,45,70,45,70
231,Xatu,470,65,75,70,95,70,95
232,Mareep,280,55,40,40,65,45,35
233,Flaaffy,365,70,55,55,80,60,45
234,Ampharos,510,90,75,85,115,90,55
235,Ampharos Mega Ampharos,610,90,95,105,165,110,45
236,Bellossom,490,75,80,95,90,100,50
237,Marill,250,70,20,50,20,50,40
238,Azumarill,420,100,50,80,60,80,50
239,Sudowoodo,410,70,100,115,30,65,30
240,Politoed,500,90,75,75,90,100,70
241,Hoppip,250,35,35,40,35,55,50
242,Skiploom,340,55,45,50,45,65,80
243,Jumpluff,460,75,55,70,55,95,110
244,Aipom,360,55,70,55,40,55,85
245,Sunkern,180,30,30,30,30,30,30
246,Sunflora,425,75,75,55,105,85,30
247,Yanma,390,65,65,45,75,45,95
248,Wooper,210,55,45,45,25,25,15
249,Wooper Paldean Wooper,210,55,45,45,25,25,15
250,Quagsire,430,95,85,85,65,65,35
251,Espeon,525,65,65,60,130,95,110
252,Umbreon,525,95,65,110,60,130,65
253,Murkrow,405,60,85,42,85,42,91
254,Slowking,490,95,75,80,100,110,30
255,Slowking Galarian Slowking,490,95,65,80,110,110,30
256,Misdreavus,435,60,60,60,85,85,85
257,Unown,336,48,72,48,72,48,48
258,Wobbuffet,405,190,33,58,33,58,33
259,Girafarig,455,70,80,65,90,65,85
260,Pineco,290,50,65,90,35,35,15
261,Forretress,465,75,90,140,60,60,40
262,Dunsparce,415,100,70,70,65,65,45
263,Gligar,430,65,75,105,35,65,85
264,Steelix,510,75,85,200,55,65,30
265,Steelix Mega Steelix,610,75,125,230,55,95,30
266,Snubbull,300,60,80,50,40,40,30
267,Granbull,450,90,120,75,60,60,45
268,Qwilfish,440,65,95,85,55,55,85
269,Qwilfish Hisuian Qwilfish,440,65,95,85,55,55,85
270,Scizor,500,70,130,100,55,80,65
271,Scizor Mega Scizor,600,70,150,140,65,100,75
272,Shuckle,505,20,10,230,10,230,5
273,Heracross,500,80,125,75,40,95,85
274,Heracross Mega Heracross,600,80,185,115,40,105,75
275,Sneasel,430,55,95,55,35,75,115
276,Sneasel Hisuian Sneasel,430,55,95,55,35,75,115
277,Teddiursa,330,60,80,50,50,50,40
278,Ursaring,500,90,130,75,75,75,55
279,Slugma,250,40,40,40,70,40,20
280,Magcargo,430,60,50,120,90,80,30
281,Swinub,250,50,50,40,30,30,50
282,Piloswine,450,100,100,80,60,60,50
283,Corsola,410,65,55,95,65,95,35
284,Corsola Galarian Corsola,410,60,55,100,65,100,30
285,Remoraid,300,35,65,35,65,35,65
286,Octillery,480,75,105,75,105,75,45
287,Delibird,330,45,55,45,65,45,75
288,Mantine,485,85,40,70,80,140,70
289,Skarmory,465,65,80,140,40,70,70
290,Houndour,330,45,60,30,80,50,65
291,Houndoom,500,75,90,50,110,80,95
292,Houndoom Mega Houndoom,600,75,90,90,140,90,115
293,Kingdra,540,75,95,95,95,95,85
294,Phanpy,330,90,60,60,40,40,40
295,Donphan,500,90,120,120,60,60,50
296,Porygon2,515,85,80,90,105,95,60
297,Stantler,465,73,95,62,85,65,85
298,Smeargle,250,55,20,35,20,45,75
299,Tyrogue,210,35,35,35,35,35,35
300,Hitmontop,455,50,95,95,35,110,70
301,Smoochum,305,45,30,15,85,65,65
302,Elekid,360,45,63,37,65,55,95
303,Magby,365,45,75,37,70,55,83
304,Miltank,490,95,80,105,40,70,100
305,Blissey,540,255,10,10,75,135,55
306,Raikou,580,90,85,75,115,100,115
307,Entei,580,115,115,85,90,75,100
308,Suicune,580,100,75,115,90,115,85
309,Larvitar,300,50,64,50,45,50,41
310,Pupitar,410,70,84,70,65,70,51
311,Tyranitar,600,100,134,110,95,100,61
312,Tyranitar Mega Tyranitar,700,100,164,150,95,120,71
313,Lugia,680,106,90,130,90,154,110
314,Ho-oh,680,106,130,90,110,154,90
315,Celebi,600,100,100,100,100,100,100
316,Treecko,310,40,45,35,65,55,70
317,Grovyle,405,50,65,45,85,65,95
318,Sceptile,530,70,85,65,105,85,120
319,Sceptile Mega Sceptile,630,70,110,75,145,85,145
320,Torchic,310,45,60,40,70,50,45
321,Combusken,405,60,85,60,85,60,55
322,Blaziken,530,80,120,70,110,70,80
323,Blaziken Mega Blaziken,630,80,160,80,130,80,100
324,Mudkip,310,50,70,50,50,50,40
325,Marshtomp,405,70,85,70,60,70,50
326,Swampert,535,100,110,90,85,90,60
327,Swampert Mega Swampert,635,100,150,110,95,110,70
328,Poochyena,220,35,55,35,30,30,35
329,Mightyena,420,70,90,70,60,60,70
330,Zigzagoon,240,38,30,41,30,41,60
331,Zigzagoon Galarian Zigzagoon,240,38,30,41,30,41,60
332,Linoone,420,78,70,61,50,61,100
333,Linoone Galarian Linoone,420,78,70,61,50,61,100
334,Wurmple,195,45,45,35,20,30,20
335,Silcoon,205,50,35,55,25,25,15
336,Beautifly,395,60,70,50,100,50,65
337,Cascoon,205,50,35,55,25,25,15
338,Dustox,385,60,50,70,50,90,65
339,Lotad,220,40,30,30,40,50,30
340,Lombre,340,60,50,50,60,70,50
341,Ludicolo,480,80,70,70,90,100,70
342,Seedot,220,40,40,50,30,30,30
343,Nuzleaf,340,70,70,40,60,40,60
344,Shiftry,480,90,100,60,90,60,80
345,Taillow,270,40,55,30,30,30,85
346,Swellow,455,60,85,60,75,50,125
347,Wingull,270,40,30,30,55,30,85
348,Pelipper,440,60,50,100,95,70,65
349,Ralts,198,28,25,25,45,35,40
350,Kirlia,278,38,35,35,65,55,50
351,Gardevoir,518,68,65,65,125,115,80
352,Gardevoir Mega Gardevoir,618,68,85,65,165,135,100
353,Surskit,269,40,30,32,50,52,65
354,Masquerain,454,70,60,62,100,82,80
355,Shroomish,295,60,40,60,40,60,35
356,Breloom,460,60,130,80,60,60,70
357,Slakoth,280,60,60,60,35,35,30
358,Vigoroth,440,80,80,80,55,55,90
359,Slaking,670,150,160,100,95,65,100
360,Nincada,266,31,45,90,30,30,40
361,Ninjask,456,61,90,45,50,50,160
362,Shedinja,236,1,90,45,30,30,40
363,Whismur,240,64,51,23,51,23,28
364,Loudred,360,84,71,43,71,43,48
365,Exploud,490,104,91,63,91,73,68
366,Makuhita,237,72,60,30,20,30,25
367,Hariyama,474,144,120,60,40,60,50
368,Azurill,190,50,20,40,20,40,20
369,Nosepass,375,30,45,135,45,90,30
370,Skitty,260,50,45,45,35,35,50
371,Delcatty,400,70,65,65,55,55,90
372,Sableye,380,50,75,75,65,65,50
373,Sableye Mega Sableye,480,50,85,125,85,115,20
374,Mawile,380,50,85,85,55,55,50
375,Mawile Mega Mawile,480,50,105,125,55,95,50
376,Aron,330,50,70,100,40,40,30
377,Lairon,430,60,90,140,50,50,40
378,Aggron,530,70,110,180,60,60,50
379,Aggron Mega Aggron,630,70,140,230,60,80,50
380,Meditite,280,30,40,55,40,55,60
381,Medicham,410,60,60,75,60,75,80
382,Medicham Mega Medicham,510,60,100,85,80,85,100
383,Electrike,295,40,45,40,65,40,65
384,Manectric,475,70,75,60,105,60,105
385,Manectric Mega Manectric,575,70,75,80,135,80,135
386,Plusle,405,60,50,40,85,75,95
387,Minun,405,60,40,50,75,85,95
388,Volbeat,430,65,73,75,47,85,85
389,Illumise,430,65,47,75,73,85,85
390,Roselia,400,50,60,45,100,80,65
391,Gulpin,302,70,43,53,43,53,40
392,Swalot,467,100,73,83,73,83,55
393,Carvanha,305,45,90,20,65,20,65
394,Sharpedo,460,70,120,40,95,40,95
395,Sharpedo Mega Sharpedo,560,70,140,70,110,65,105
396,Wailmer,400,130,70,35,70,35,60
397,Wailord,500,170,90,45,90,45,60
398,Numel,305,60,60,40,65,45,35
399,Camerupt,460,70,100,70,105,75,40
400,Camerupt Mega Camerupt,560,70,120,100,145,105,20
401,Torkoal,470,70,85,140,85,70,20
402,Spoink,330,60,25,35,70,80,60
403,Grumpig,470,80,45,65,90,110,80
404,Spinda,360,60,60,60,60,60,60
405,Trapinch,290,45,100,45,45,45,10
406,Vibrava,340,50,70,50,50,50,70
407,Flygon,520,80,100,80,80,80,100
408,Cacnea,335,50,85,40,85,40,35
409,Cacturne,475,70,115,60,115,60,55
410,Swablu,310,45,40,60,40,75,50
411,Altaria,490,75,70,90,70,105,80
412,Altaria Mega Altaria,590,75,110,110,110,105,80
413,Zangoose,458,73,115,60,60,60,90
414,Seviper,458,73,100,60,100,60,65
415,Lunatone,460,90,55,65,95,85,70
416,Solrock,460,90,95,85,55,65,70
417,Barboach,288,50,48,43,46,41,60
418,Whiscash,468,110,78,73,76,71,60
419,Corphish,308,43,80,65,50,35,35
420,Crawdaunt,468,63,120,85,90,55,55
421,Baltoy,300,40,40,55,40,70,55
422,Claydol,500,60,70,105,70,120,75
423,Lileep,355,66,41,77,61,87,23
424,Cradily,495,86,81,97,81,107,43
425,Anorith,355,45,95,50,40,50,75
426,Armaldo,495,75,125,100,70,80,45
427,Feebas,200,20,15,20,10,55,80
428,Milotic,540,95,60,79,100,125,81
429,Castform,420,70,70,70,70,70,70
430,Castform Sunny Form,420,70,70,70,70,70,70
431,Castform Rainy Form,420,70,70,70,70,70,70
432,Castform Snowy Form,420,70,70,70,70,70,70
433,Kecleon,440,60,90,70,60,120,40
434,Shuppet,295,44,75,35,63,33,45
435,Banette,455,64,115,65,83,63,65
436,Banette Mega Banette,555,64,165,75,93,83,75
437,Duskull,295,20,40,90,30,90,25
438,Dusclops,455,40,70,130,60,130,25
439,Tropius,460,99,68,83,72,87,51
440,Chimecho,455,75,50,80,95,90,65
441,Absol,465,65,130,60,75,60,75
442,Absol Mega Absol,565,65,150,60,115,60,115
443,Wynaut,260,95,23,48,23,48,23
444,Snorunt,300,50,50,50,50,50,50
445,Glalie,480,80,80,80,80,80,80
446,Glalie Mega Glalie,580,80,120,80,120,80,100
447,Spheal,290,70,40,50,55,50,25
448,Sealeo,410,90,60,70,75,70,45
449,Walrein,530,110,80,90,95,90,65
450,Clamperl,345,35,64,85,74,55,32
451,Huntail,485,55,104,105,94,75,52
452,Gorebyss,485,55,84,105,114,75,52
453,Relicanth,485,100,90,130,45,65,55
454,Luvdisc,330,43,30,55,40,65,97
455,Bagon,300,45,75,60,40,30,50
456,Shelgon,420,65,95,100,60,50,50
457,Salamence,600,95,135,80,110,80,100
458,Salamence Mega Salamence,700,95,145,130,120,90,120
459,Beldum,300,40,55,80,35,60,30
460,Metang,420,60,75,100,55,80,50
461,Metagross,600,80,135,130,95,90,70
462,Metagross Mega Metagross,700,80,145,150,105,110,110
463,Regirock,580,80,100,200,50,100,50
464,Regice,580,80,50,100,100,200,50
465,Registeel,580,80,75,150,75,150,50
466,Latias,600,80,80,90,110,130,110
467,Latias Mega Latias,700,80,100,120,140,150,110
468,Latios,600,80,90,80,130,110,110
469,Latios Mega Latios,700,80,130,100,160,120,110
470,Kyogre,670,100,100,90,150,140,90
471,Kyogre Primal Kyogre,770,100,150,90,180,160,90
472,Groudon,670,100,150,140,100,90,90
473,Groudon Primal Groudon,770,100,180,160,150,90,90
474,Rayquaza,680,105,150,90,150,90,95
475,Rayquaza Mega Rayquaza,780,105,180,100,180,100,115
476,Jirachi,600,100,100,100,100,100,100
477,Deoxys Normal Forme,600,50,150,50,150,50,150
478,Deoxys Attack Forme,600,50,180,20,180,20,150
479,Deoxys Defense Forme,600,50,70,160,70,160,90
480,Deoxys Speed Forme,600,50,95,90,95,90,180
481,Turtwig,318,55,68,64,45,55,31
482,Grotle,405,75,89,85,55,65,36
483,Torterra,525,95,109,105,75,85,56
484,Chimchar,309,44,58,44,58,44,61
485,Monferno,405,64,78,52,78,52,81
486,Infernape,534,76,104,71,104,71,108
487,Piplup,314,53,51,53,61,56,40
488,Prinplup,405,64,66,68,81,76,50
489,Empoleon,530,84,86,88,111,101,60
490,Starly,245,40,55,30,30,30,60
491,Staravia,340,55,75,50,40,40,80
492,Staraptor,485,85,120,70,50,60,100
493,Bidoof,250,59,45,40,35,40,31
494,Bibarel,410,79,85,60,55,60,71
495,Kricketot,194,37,25,41,25,41,25
496,Kricketune,384,77,85,51,55,51,65
497,Shinx,263,45,65,34,40,34,45
498,Luxio,363,60,85,49,60,49,60
499,Luxray,523,80,120,79,95,79,70
500,Budew,280,40,30,35,50,70,55
501,Roserade,515,60,70,65,125,105,90
502,Cranidos,350,67,125,40,30,30,58
503,Rampardos,495,97,165,60,65,50,58
504,Shieldon,350,30,42,118,42,88,30
505,Bastiodon,495,60,52,168,47,138,30
506,Burmy Plant Cloak,224,40,29,45,29,45,36
507,Burmy Sandy Cloak,224,40,29,45,29,45,36
508,Burmy Trash Cloak,224,40,29,45,29,45,36
509,Wormadam Plant Cloak,424,60,59,85,79,105,36
510,Wormadam Sandy Cloak,424,60,79,105,59,85,36
511,Wormadam Trash Cloak,424,60,69,95,69,95,36
512,Mothim,424,70,94,50,94,50,66
513,Combee,244,30,30,42,30,42,70
514,Vespiquen,474,70,80,102,80,102,40
515,Pachirisu,405,60,45,70,45,90,95
516,Buizel,330,55,65,35,60,30,85
517,Floatzel,495,85,105,55,85,50,115
518,Cherubi,275,45,35,45,62,53,35
519,Cherrim,450,70,60,70,87,78,85
520,Shellos,325,76,48,48,57,62,34
521,Gastrodon,475,111,83,68,92,82,39
522,Ambipom,482,75,100,66,60,66,115
523,Drifloon,348,90,50,34,60,44,70
524,Drifblim,498,150,80,44,90,54,80
525,Buneary,350,55,66,44,44,56,85
526,Lopunny,480,65,76,84,54,96,105
527,Lopunny Mega Lopunny,580,65,136,94,54,96,135
528,Mismagius,495,60,60,60,105,105,105
529,Honchkrow,505,100,125,52,105,52,71
530,Glameow,310,49,55,42,42,37,85
531,Purugly,452,71,82,64,64,59,112
532,Chingling,285,45,30,50,65,50,45
533,Stunky,329,63,63,47,41,41,74
534,Skuntank,479,103,93,67,71,61,84
535,Bronzor,300,57,24,86,24,86,23
536,Bronzong,500,67,89,116,79,116,33
537,Bonsly,290,50,80,95,10,45,10
538,Mime Jr.,310,20,25,45,70,90,60
539,Happiny,220,100,5,5,15,65,30
540,Chatot,411,76,65,45,92,42,91
541,Spiritomb,485,50,92,108,92,108,35
542,Gible,300,58,70,45,40,45,42
543,Gabite,410,68,90,65,50,55,82
544,Garchomp,600,108,130,95,80,85,102
545,Garchomp Mega Garchomp,700,108,170,115,120,95,92
546,Munchlax,390,135,85,40,40,85,5
547,Riolu,285,40,70,40,35,40,60
548,Lucario,525,70,110,70,115,70,90
549,Lucario Mega Lucario,625,70,145,88,140,70,112
550,Hippopotas,330,68,72,78,38,42,32
551,Hippowdon,525,108,112,118,68,72,47
552,Skorupi,330,40,50,90,30,55,65
553,Drapion,500,70,90,110,60,75,95
554,Croagunk,300,48,61,40,61,40,50
555,Toxicroak,490,83,106,65,86,65,85
556,Carnivine,454,74,100,72,90,72,46
557,Finneon,330,49,49,56,49,61,66
558,Lumineon,460,69,69,76,69,86,91
559,Mantyke,345,45,20,50,60,120,50
560,Snover,334,60,62,50,62,60,40
561,Abomasnow,494,90,92,75,92,85,60
562,Abomasnow Mega Abomasnow,594,90,132,105,132,105,30
563,Weavile,510,70,120,65,45,85,125
564,Magnezone,535,70,70,115,130,90,60
565,Lickilicky,515,110,85,95,80,95,50
566,Rhyperior,535,115,140,130,55,55,40
567,Tangrowth,535,100,100,125,110,50,50
568,Electivire,540,75,123,67,95,85,95
569,Magmortar,540,75,95,67,125,95,83
570,Togekiss,545,85,50,95,120,115,80
571,Yanmega,515,86,76,86,116,56,95
572,Leafeon,525,65,110,130,60,65,95
573,Glaceon,525,65,60,110,130,95,65
574,Gliscor,510,75,95,125,45,75,95
575,Mamoswine,530,110,130,80,70,60,80
576,Porygon-Z,535,85,80,70,135,75,90
577,Gallade,518,68,125,65,65,115,80
578,Gallade Mega Gallade,618,68,165,95,65,115,110
579,Probopass,525,60,55,145,75,150,40
580,Dusknoir,525,45,100,135,65,135,45
581,Froslass,480,70,80,70,80,70,110
582,Rotom,440,50,50,77,95,77,91
583,Rotom Heat Rotom,520,50,65,107,105,107,86
584,Rotom Wash Rotom,520,50,65,107,105,107,86
585,Rotom Frost Rotom,520,50,65,107,105,107,86
586,Rotom Fan Rotom,520,50,65,107,105,107,86
587,Rotom Mow Rotom,520,50,65,107,105,107,86
588,Uxie,580,75,75,130,75,130,95
589,Mesprit,580,80,105,105,105,105,80
590,Azelf,580,75,125,70,125,70,115
591,Dialga,680,100,120,120,150,100,90
592,Dialga Origin Forme,680,100,100,120,150,120,90
593,Palkia,680,90,120,100,150,120,100
594,Palkia Origin Forme,680,90,100,100,150,120,120
595,Heatran,600,91,90,106,130,106,77
596,Regigigas,670,110,160,110,80,110,100
597,Giratina Altered Forme,680,150,100,120,100,120,90
598,Giratina Origin Forme,680,150,120,100,120,100,90
599,Cresselia,580,120,70,110,75,120,85
600,Phione,480,80,80,80,80,80,80
